('episode:', 100, ' /move_cnt:', 2447, ' / rnd:', 2447, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 0.3981297552248059), (u'average_loss', 0.04208309477999244)], ' / epsilon:', 0.99989002)
('episode:', 200, ' /move_cnt:', 2602, ' / rnd:', 2601, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 42, ' / statistics:', [(u'average_q', 0.7144252767347489), (u'average_loss', 0.046884429437065306)], ' / epsilon:', 0.99977338)
('episode:', 300, ' /move_cnt:', 2541, ' / rnd:', 2540, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 0.9121050969766306), (u'average_loss', 0.04592306770113235)], ' / epsilon:', 0.99965791)
('episode:', 400, ' /move_cnt:', 2412, ' / rnd:', 2411, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 1.037995922609302), (u'average_loss', 0.05174049498427218)], ' / epsilon:', 0.99954991)
('episode:', 500, ' /move_cnt:', 2451, ' / rnd:', 2450, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 53, ' / statistics:', [(u'average_q', 1.0569691845099256), (u'average_loss', 0.04944512812835362)], ' / epsilon:', 0.99943966)
('episode:', 600, ' /move_cnt:', 2223, ' / rnd:', 2219, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 1.0363376337189865), (u'average_loss', 0.04942480251830888)], ' / epsilon:', 0.99933967)
('episode:', 700, ' /move_cnt:', 2346, ' / rnd:', 2345, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 34, ' / statistics:', [(u'average_q', 1.0563865661823795), (u'average_loss', 0.056567781643030744)], ' / epsilon:', 0.99923374)
('episode:', 800, ' /move_cnt:', 2378, ' / rnd:', 2377, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 48, ' / statistics:', [(u'average_q', 1.0558717383423606), (u'average_loss', 0.048311871939392834)], ' / epsilon:', 0.99912664)
('episode:', 900, ' /move_cnt:', 2579, ' / rnd:', 2575, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 1.0391276280233104), (u'average_loss', 0.04457899724597686)], ' / epsilon:', 0.99901162)
('episode:', 1000, ' /move_cnt:', 2323, ' / rnd:', 2318, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 1.0138141079049845), (u'average_loss', 0.04829593448984357)], ' / epsilon:', 0.99890632)
('episode:', 1100, ' /move_cnt:', 2172, ' / rnd:', 2169, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 0.9982310715488566), (u'average_loss', 0.05382687141018625)], ' / epsilon:', 0.99880849)
