('episode:', 100, ' /move_cnt:', 1623, ' / rnd:', 1623, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 48, ' / statistics:', [(u'average_q', 0.5107265775484512), (u'average_loss', 0.07511815448288495)], ' / epsilon:', 0.99992665)
('episode:', 200, ' /move_cnt:', 1423, ' / rnd:', 1423, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 0.5171462259131238), (u'average_loss', 0.08562796143121608)], ' / epsilon:', 0.99986302)
('episode:', 300, ' /move_cnt:', 1528, ' / rnd:', 1528, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 0.4611314923264069), (u'average_loss', 0.08774928239314944)], ' / epsilon:', 0.99979462)
('episode:', 400, ' /move_cnt:', 1498, ' / rnd:', 1498, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 0.44019139101278376), (u'average_loss', 0.08582006155125699)], ' / epsilon:', 0.99972703)
('episode:', 500, ' /move_cnt:', 1495, ' / rnd:', 1495, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 0.3974913185168663), (u'average_loss', 0.08418622603330649)], ' / epsilon:', 0.99965962)
('episode:', 600, ' /move_cnt:', 1530, ' / rnd:', 1530, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 49, ' / statistics:', [(u'average_q', 0.4607931252956392), (u'average_loss', 0.08895825584360649)], ' / epsilon:', 0.99959104)
('episode:', 700, ' /move_cnt:', 1499, ' / rnd:', 1499, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 57, ' / statistics:', [(u'average_q', 0.44844068501522844), (u'average_loss', 0.08111524109942322)], ' / epsilon:', 0.99952345)
('episode:', 800, ' /move_cnt:', 1506, ' / rnd:', 1505, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 0.43537473696756773), (u'average_loss', 0.10076117432847848)], ' / epsilon:', 0.9994555)
('episode:', 900, ' /move_cnt:', 1646, ' / rnd:', 1646, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 0.44591663172672114), (u'average_loss', 0.08057418765250657)], ' / epsilon:', 0.99938179)
('episode:', 1000, ' /move_cnt:', 1433, ' / rnd:', 1433, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 57, ' / statistics:', [(u'average_q', 0.4152140562420259), (u'average_loss', 0.08156501993755179)], ' / epsilon:', 0.99931717)
('episode:', 1100, ' /move_cnt:', 1471, ' / rnd:', 1471, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 48, ' / statistics:', [(u'average_q', 0.4146828947417149), (u'average_loss', 0.08746277430314563)], ' / epsilon:', 0.99925111)
('episode:', 1200, ' /move_cnt:', 1490, ' / rnd:', 1490, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 0.4285558368459185), (u'average_loss', 0.08077102342552299)], ' / epsilon:', 0.99918379)
('episode:', 1300, ' /move_cnt:', 1351, ' / rnd:', 1351, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 0.4013404115036191), (u'average_loss', 0.10668837467544712)], ' / epsilon:', 0.99912286)
('episode:', 1400, ' /move_cnt:', 1413, ' / rnd:', 1412, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 0.40156676297483035), (u'average_loss', 0.09993205287412353)], ' / epsilon:', 0.99905932)
('episode:', 1500, ' /move_cnt:', 1577, ' / rnd:', 1576, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 41, ' / statistics:', [(u'average_q', 0.40799214614802604), (u'average_loss', 0.07603565662830786)], ' / epsilon:', 0.99898885)
('episode:', 1600, ' /move_cnt:', 1548, ' / rnd:', 1548, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 0.3723113601912375), (u'average_loss', 0.07628018258757112)], ' / epsilon:', 0.99891928)
('episode:', 1700, ' /move_cnt:', 1492, ' / rnd:', 1491, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 44, ' / statistics:', [(u'average_q', 0.3926663921594411), (u'average_loss', 0.07520650774640597)], ' / epsilon:', 0.99885232)
('episode:', 1800, ' /move_cnt:', 1498, ' / rnd:', 1497, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 60, ' / statistics:', [(u'average_q', 0.361722595805695), (u'average_loss', 0.07671174672899136)], ' / epsilon:', 0.99878419)
