('episode:', 100, ' /move_cnt:', 1582, ' / rnd:', 1582, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 57, ' / statistics:', [(u'average_q', 0.11842878029059146), (u'average_loss', 0.06579010235642954)], ' / epsilon:', 0.99992827)
('episode:', 200, ' /move_cnt:', 1490, ' / rnd:', 1490, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 48, ' / statistics:', [(u'average_q', 0.21590568907194957), (u'average_loss', 0.06939822078363513)], ' / epsilon:', 0.99986149)
('episode:', 300, ' /move_cnt:', 1575, ' / rnd:', 1574, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 40, ' / statistics:', [(u'average_q', 0.300654008857727), (u'average_loss', 0.06850250651376062)], ' / epsilon:', 0.99979129)
('episode:', 400, ' /move_cnt:', 1511, ' / rnd:', 1511, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 0.35969119792267157), (u'average_loss', 0.06812443994233017)], ' / epsilon:', 0.99972343)
('episode:', 500, ' /move_cnt:', 1504, ' / rnd:', 1504, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 39, ' / statistics:', [(u'average_q', 0.3898441542245523), (u'average_loss', 0.0666617143744018)], ' / epsilon:', 0.99965584)
('episode:', 600, ' /move_cnt:', 1505, ' / rnd:', 1504, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 62, ' / statistics:', [(u'average_q', 0.40262694561280876), (u'average_loss', 0.06584652017413288)], ' / epsilon:', 0.99958771)
('episode:', 700, ' /move_cnt:', 1527, ' / rnd:', 1527, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 47, ' / statistics:', [(u'average_q', 0.4096651563755478), (u'average_loss', 0.06498365698251012)], ' / epsilon:', 0.99951922)
('episode:', 800, ' /move_cnt:', 1541, ' / rnd:', 1541, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 32, ' / statistics:', [(u'average_q', 0.4175499434298921), (u'average_loss', 0.06894479649944335)], ' / epsilon:', 0.999451)
('episode:', 900, ' /move_cnt:', 1320, ' / rnd:', 1320, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 49, ' / statistics:', [(u'average_q', 0.42710446869742363), (u'average_loss', 0.06477400519416988)], ' / epsilon:', 0.99939187)
('episode:', 1000, ' /move_cnt:', 1616, ' / rnd:', 1616, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 0.4393859806208255), (u'average_loss', 0.06934800368936216)], ' / epsilon:', 0.99931951)
('episode:', 1100, ' /move_cnt:', 1517, ' / rnd:', 1517, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 55, ' / statistics:', [(u'average_q', 0.43830744718503534), (u'average_loss', 0.06921475855708571)], ' / epsilon:', 0.99925075)
('episode:', 1200, ' /move_cnt:', 1438, ' / rnd:', 1438, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 0.42943972871850583), (u'average_loss', 0.06658193014726714)], ' / epsilon:', 0.99918604)
('episode:', 1300, ' /move_cnt:', 1536, ' / rnd:', 1535, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 0.43376333292288205), (u'average_loss', 0.07009776413944765)], ' / epsilon:', 0.99911674)
('episode:', 1400, ' /move_cnt:', 1467, ' / rnd:', 1467, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 46, ' / statistics:', [(u'average_q', 0.4306942250009327), (u'average_loss', 0.06623468145571447)], ' / epsilon:', 0.99905086)
('episode:', 1500, ' /move_cnt:', 1486, ' / rnd:', 1486, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 53, ' / statistics:', [(u'average_q', 0.43512850455316127), (u'average_loss', 0.06625272528753394)], ' / epsilon:', 0.99898381)
('episode:', 1600, ' /move_cnt:', 1648, ' / rnd:', 1647, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 0.43647380666890767), (u'average_loss', 0.07116949988714186)], ' / epsilon:', 0.99890911)
('episode:', 1700, ' /move_cnt:', 1424, ' / rnd:', 1424, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 0.43607237251410963), (u'average_loss', 0.06822283818108099)], ' / epsilon:', 0.9988453)
('episode:', 1800, ' /move_cnt:', 1445, ' / rnd:', 1444, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 0.4388035699133227), (u'average_loss', 0.06948916519841304)], ' / epsilon:', 0.99878032)
('episode:', 1900, ' /move_cnt:', 1460, ' / rnd:', 1459, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 44, ' / statistics:', [(u'average_q', 0.4363452432478587), (u'average_loss', 0.0699106842934478)], ' / epsilon:', 0.99871498)
('episode:', 2000, ' /move_cnt:', 1530, ' / rnd:', 1529, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 47, ' / statistics:', [(u'average_q', 0.4325357395086782), (u'average_loss', 0.0661124525144031)], ' / epsilon:', 0.99864613)
('episode:', 2100, ' /move_cnt:', 1529, ' / rnd:', 1528, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 46, ' / statistics:', [(u'average_q', 0.4392891414809702), (u'average_loss', 0.06401339807831109)], ' / epsilon:', 0.9985771)
('episode:', 2200, ' /move_cnt:', 1469, ' / rnd:', 1468, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 41, ' / statistics:', [(u'average_q', 0.44370040856856685), (u'average_loss', 0.07248340329537836)], ' / epsilon:', 0.99851131)
('episode:', 2300, ' /move_cnt:', 1421, ' / rnd:', 1419, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 53, ' / statistics:', [(u'average_q', 0.44136433273697384), (u'average_loss', 0.06943307563566423)], ' / epsilon:', 0.99844741)
('episode:', 2400, ' /move_cnt:', 1486, ' / rnd:', 1486, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 0.4440010554686666), (u'average_loss', 0.06658951563569811)], ' / epsilon:', 0.99838036)
('episode:', 2500, ' /move_cnt:', 1491, ' / rnd:', 1490, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 0.44803088879660574), (u'average_loss', 0.0652326470387951)], ' / epsilon:', 0.99831286)
('episode:', 2600, ' /move_cnt:', 1440, ' / rnd:', 1439, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 55, ' / statistics:', [(u'average_q', 0.4523780383757478), (u'average_loss', 0.07056433236247037)], ' / epsilon:', 0.99824806)
('episode:', 2700, ' /move_cnt:', 1498, ' / rnd:', 1495, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 47, ' / statistics:', [(u'average_q', 0.45652530250038115), (u'average_loss', 0.07068654082619662)], ' / epsilon:', 0.99818074)
